event_id,method,n_files,n_real,prec_at_1,prec_at_3,recall_at_5,triage_sec,found_first,repo
elasticsearch-ev00196,pre_only,3,2,1.0,0.6666666666666666,1.0,0,1,elasticsearch
elasticsearch-ev00197,pre_only,3,2,1.0,0.6666666666666666,1.0,0,1,elasticsearch
elasticsearch-ev00198,pre_only,4,2,1.0,0.6666666666666666,1.0,0,1,elasticsearch
elasticsearch-ev00199,pre_only,8,4,1.0,1.0,0.75,0,1,elasticsearch
elasticsearch-ev00200,pre_only,3,2,1.0,0.6666666666666666,1.0,0,1,elasticsearch
elasticsearch-ev00201,pre_only,5,3,1.0,0.6666666666666666,1.0,0,1,elasticsearch
elasticsearch-ev00202,pre_only,7,4,1.0,1.0,1.0,0,1,elasticsearch
elasticsearch-ev00203,pre_only,5,3,1.0,1.0,1.0,0,1,elasticsearch
elasticsearch-ev00204,pre_only,5,3,1.0,0.6666666666666666,1.0,0,1,elasticsearch
elasticsearch-ev00205,pre_only,3,2,1.0,0.6666666666666666,1.0,0,1,elasticsearch
elasticsearch-ev00206,pre_only,3,2,1.0,0.6666666666666666,1.0,0,1,elasticsearch
elasticsearch-ev00207,pre_only,3,2,1.0,0.6666666666666666,1.0,0,1,elasticsearch
elasticsearch-ev00208,pre_only,5,3,1.0,0.6666666666666666,1.0,0,1,elasticsearch
elasticsearch-ev00209,pre_only,7,4,1.0,1.0,1.0,0,1,elasticsearch
elasticsearch-ev00210,pre_only,8,4,1.0,1.0,1.0,0,1,elasticsearch
elasticsearch-ev00211,pre_only,6,3,1.0,0.6666666666666666,0.6666666666666666,0,1,elasticsearch
elasticsearch-ev00212,pre_only,4,2,1.0,0.6666666666666666,1.0,0,1,elasticsearch
elasticsearch-ev00213,pre_only,4,2,1.0,0.6666666666666666,1.0,0,1,elasticsearch
elasticsearch-ev00214,pre_only,6,3,1.0,1.0,1.0,0,1,elasticsearch
elasticsearch-ev00215,pre_only,4,2,1.0,0.6666666666666666,1.0,0,1,elasticsearch
elasticsearch-ev00216,pre_only,8,4,1.0,1.0,1.0,0,1,elasticsearch
elasticsearch-ev00217,pre_only,5,3,1.0,0.6666666666666666,1.0,0,1,elasticsearch
elasticsearch-ev00218,pre_only,6,3,1.0,0.6666666666666666,1.0,0,1,elasticsearch
elasticsearch-ev00219,pre_only,6,3,1.0,0.6666666666666666,1.0,0,1,elasticsearch
elasticsearch-ev00220,pre_only,3,2,1.0,0.6666666666666666,1.0,0,1,elasticsearch
elasticsearch-ev00221,pre_only,7,4,1.0,1.0,1.0,0,1,elasticsearch
elasticsearch-ev00222,pre_only,4,2,1.0,0.3333333333333333,1.0,0,1,elasticsearch
elasticsearch-ev00223,pre_only,4,2,1.0,0.6666666666666666,1.0,0,1,elasticsearch
elasticsearch-ev00224,pre_only,5,3,1.0,1.0,1.0,0,1,elasticsearch
elasticsearch-ev00225,pre_only,8,4,1.0,0.6666666666666666,0.75,0,1,elasticsearch
elasticsearch-ev00226,pre_only,7,4,1.0,1.0,0.75,0,1,elasticsearch
elasticsearch-ev00227,pre_only,8,4,1.0,1.0,1.0,0,1,elasticsearch
elasticsearch-ev00228,pre_only,4,2,1.0,0.6666666666666666,1.0,0,1,elasticsearch
elasticsearch-ev00229,pre_only,8,4,1.0,1.0,1.0,0,1,elasticsearch
elasticsearch-ev00230,pre_only,4,2,1.0,0.6666666666666666,1.0,0,1,elasticsearch
elasticsearch-ev00231,pre_only,6,3,1.0,1.0,1.0,0,1,elasticsearch
elasticsearch-ev00232,pre_only,3,2,1.0,0.6666666666666666,1.0,0,1,elasticsearch
elasticsearch-ev00233,pre_only,4,2,1.0,0.3333333333333333,1.0,0,1,elasticsearch
elasticsearch-ev00234,pre_only,3,2,1.0,0.6666666666666666,1.0,0,1,elasticsearch
elasticsearch-ev00235,pre_only,6,3,1.0,1.0,1.0,0,1,elasticsearch
elasticsearch-ev00236,pre_only,7,4,1.0,1.0,1.0,0,1,elasticsearch
elasticsearch-ev00237,pre_only,7,4,1.0,1.0,1.0,0,1,elasticsearch
elasticsearch-ev00238,pre_only,3,2,1.0,0.6666666666666666,1.0,0,1,elasticsearch
elasticsearch-ev00239,pre_only,7,4,1.0,1.0,1.0,0,1,elasticsearch
elasticsearch-ev00240,pre_only,5,3,1.0,1.0,1.0,0,1,elasticsearch
elasticsearch-ev00241,pre_only,5,3,1.0,0.6666666666666666,1.0,0,1,elasticsearch
elasticsearch-ev00242,pre_only,6,3,1.0,0.6666666666666666,0.6666666666666666,0,1,elasticsearch
elasticsearch-ev00243,pre_only,7,4,1.0,1.0,1.0,0,1,elasticsearch
elasticsearch-ev00244,pre_only,4,2,1.0,0.6666666666666666,1.0,0,1,elasticsearch
elasticsearch-ev00245,pre_only,4,2,1.0,0.6666666666666666,1.0,0,1,elasticsearch
elasticsearch-ev00246,pre_only,8,4,1.0,1.0,1.0,0,1,elasticsearch
elasticsearch-ev00247,pre_only,5,3,1.0,1.0,1.0,0,1,elasticsearch
elasticsearch-ev00248,pre_only,4,2,1.0,0.6666666666666666,1.0,0,1,elasticsearch
elasticsearch-ev00249,pre_only,4,2,1.0,0.6666666666666666,1.0,0,1,elasticsearch
